Player,Posititon,Team,Injury,Status,Days,Money_Earned
Carlos Carrasco,SP,CLE,Hand/Hamstring,20161001 60-day | 10/1 - 9/1715-day | 4/25 - 6/2,54,"$1,327,860"
A.J. Schugel,RP,PIT,Shoulder,20160924 60-day | 9/24 - 10/2,9,"$24,957"
Jacob deGrom,SP,NYM,Elbow,20160921 60-day | 9/21 - 10/2,12,"$39,804"
Chris Lee,SP,BAL,Shoulder,20160915 60-day | 9/15 - 10/2,18,"$49,914"
Cody Reed,SP,CIN,Back,20160915 injured-reserve | 9/15 - 10/2,18,"$49,914"
Gerrit Cole,SP,HOU,Elbow/Arm,20160913 60-day | 9/13 - 10/215-day | 8/25 - 9/1215-day | 6/11 - 7/16,75,"$224,625"
Trevor May,RP,MIN,Back,20160913 15-day | 9/13 - 10/215-day | 8/7 - 9/915-day | 6/10 - 7/5,80,"$238,240"
Carlos Frias,RP,CLE,Oblique,20160909 60-day | 9/9 - 10/2,24,"$67,872"
Matt Shoemaker,SP,TOR,Face,20160905 60-day | 9/5 - 10/2,28,"$81,088"
Ray Black,RP,SF,Elbow,20160904 60-day | 9/4 - 10/2,29,"$80,417"
Chad Green,RP,NYY,Arm,20160903 60-day | 9/3 - 10/2,30,"$83,190"
Nick Rumbelow,RP,SEA,Elbow Tommy John,20160902 60-day | 9/2 - 10/2,31,"$85,963"
Chien-Ming Wang,RP,KC,Biceps,20160831 15-day | 8/31 - 9/17,18,"$98,352"
Aaron Blair,SP,ATL,Knee,20160829 15-day | 8/29 - 9/18,21,"$58,233"
Arodys Vizcaino,RP,ATL,Shoulder/Oblique,20160829 15-day | 8/29 - 10/215-day | 7/16 - 8/18,69,"$338,376"
Derek Law,RP,SF,Elbow,20160828 15-day | 8/28 - 9/14,18,"$49,914"
David Phelps,RP,TOR,Oblique,20160827 15-day | 8/27 - 9/10,15,"$204,915"
Tom Wilhelmsen,RP,SD,Back,20160826 15-day | 8/26 - 9/9,15,"$41,595"
Rob Whalen,RP,SEA,Shoulder,20160825 60-day | 8/25 - 10/2,39,"$108,147"
Jonathan Niese,RP,TEX,Knee,20160824 60-day | 8/24 - 10/2,40,"$1,978,160"
Scott Kazmir,SP,ATL,Back,20160823 15-day | 8/23 - 9/24,33,"$2,284,161"
Anthony Swarzak,RP,SEA,Shoulder,20160823 15-day | 8/23 - 9/18,27,"$110,646"
Shawn Tolleson,RP,TEX,Back,20160823 60-day | 8/23 - 10/2,41,"$733,736"
Brett Anderson,SP,OAK,Finger/Back,20160823 15-day | 8/23 - 9/2360-day | 4/3 - 8/14,166,"$14,332,274"
Mike Leake,SP,SEA,Shin,20160822 15-day | 8/22 - 9/7,17,"$1,114,758"
Jake Peavy,RP,SF,Back,20160821 15-day | 8/21 - 9/7,18,"$1,475,406"
Chris Tillman,SP,TEX,Shoulder,20160821 15-day | 8/21 - 9/10,21,"$714,336"
Stephen Strasburg,SP,WSH,Elbow/Back,20160821 15-day | 8/21 - 9/715-day | 6/16 - 7/3,36,"$2,045,916"
Drew Storen,RP,KC,Shoulder,20160820 15-day | 8/20 - 9/4,16,"$546,448"
Aaron Brooks,SP,OAK,Hip,20160820 60-day | 8/20 - 10/2,44,"$122,628"
Scott Oberg,RP,COL,Arm,20160820 60-day | 8/20 - 10/2,44,"$122,496"
Matt Cain,RP,SF,Back/Hamstring,20160819 15-day | 8/19 - 9/215-day | 6/14 - 7/2015-day | 5/28 - 6/13,69,"$7,855,167"
Eric O'Flaherty,RP,ATL,Elbow/Knee,20160818 60-day | 8/18 - 10/215-day | 6/13 - 7/16,80,"$765,040"
Lucas Harrell,RP,TOR,Groin,20160817 60-day | 8/17 - 10/2,47,"$130,331"
Joe Smith,RP,HOU,Hamstring,20160817 15-day | 8/17 - 9/115-day | 6/5 - 7/1,43,"$1,233,627"
Hector Rondon,RP,HOU,Arm,20160817 15-day | 8/17 - 9/6,21,"$481,971"
Sammy Solis,RP,SD,Shoulder/Knee,20160816 15-day | 8/16 - 9/2615-day | 7/8 - 7/25,60,"$166,380"
John Lackey,SP,CHC,Shoulder,20160815 15-day | 8/15 - 9/4,21,"$1,836,072"
Tyler Chatwood,SP,CHC,Back,20160815 15-day | 8/15 - 9/215-day | 6/19 - 7/5,36,"$196,704"
Steven Matz,SP,NYM,Elbow,20160815 15-day | 8/15 - 10/6,53,"$149,354"
Adam Conley,RP,MIA,Hand,20160814 15-day | 8/14 - 9/26,44,"$123,244"
Michael Blazek,RP,ARI,Arm/Elbow,20160814 15-day | 8/14 - 9/315-day | 5/29 - 6/19,43,"$120,830"
Seth Maness,RP,KC,Elbow,20160814 60-day | 8/14 - 10/2,50,"$382,500"
Brandon McCarthy,SP,ATL,Hip/Elbow Tommy John,20160814 15-day | 8/14 - 9/2560-day | 4/3 - 7/3,135,"$8,467,186"
Josh Ravin,RP,ATL,Arm,20160814 15-day | 8/14 - 9/2,20,"$56,280"
Miguel Gonzalez,SP,CHW,Groin,20160813 15-day | 8/13 - 9/6,25,"$69,325"
Darren O'Day,RP,ATL,Shoulder/Hamstring,20160812 15-day | 8/12 - 9/1815-day | 6/3 - 7/24,90,"$2,950,830"
Tom Milone,RP,SEA,Biceps,20160812 15-day | 8/12 - 9/9,29,"$713,110"
Buddy Boshers,RP,CIN,Elbow,20160811 15-day | 8/11 - 9/2,23,"$63,779"
Nathan Eovaldi,SP,BOS,Elbow,20160811 60-day | 8/11 - 10/2,53,"$1,621,853"
Pedro Strop,RP,CHC,Knee,20160811 15-day | 8/11 - 9/23,44,"$1,057,936"
Michael Wacha,SP,STL,Shoulder,20160809 15-day | 8/9 - 9/14,37,"$108,965"
Cam Bedrosian,RP,LAA,Finger,20160809 15-day | 8/9 - 10/2,55,"$153,450"
Zach Eflin,SP,PHI,Knee,20160809 60-day | 8/9 - 11/3,87,"$241,251"
A.J. Ramos,RP,NYM,Finger,20160809 15-day | 8/9 - 8/21,13,"$241,527"
James Paxton,SP,NYY,Elbow,20160808 15-day | 8/8 - 8/25,18,"$49,914"
Sonny Gray,SP,CIN,Arm/Back,20160808 15-day | 8/8 - 9/2815-day | 5/22 - 6/5,67,"$193,161"
Steven Wright,RP,BOS,Shoulder,20160808 15-day | 8/8 - 8/26,19,"$53,409"
Jesse Hahn,SP,KC,Shoulder,20160806 15-day | 8/6 - 9/1,27,"$74,871"
Chris Withrow,RP,KC,Elbow,20160805 15-day | 8/5 - 9/1,28,"$93,324"
Jordan Zimmermann,SP,DET,Arm/Neck,20160805 15-day | 8/5 - 9/615-day | 7/1 - 8/4,68,"$6,688,548"
Enny Romero,RP,KC,Back,20160804 15-day | 8/4 - 8/20,17,"$47,379"
Junior Guerra,SP,MIL,Elbow,20160804 15-day | 8/4 - 9/2,30,"$83,190"
Aaron Nola,SP,PHI,Elbow,20160803 60-day | 8/3 - 10/2,61,"$172,508"
Louis Coleman,RP,DET,Shoulder,20160803 15-day | 8/3 - 9/2,31,"$127,038"
Huston Street,RP,LAA,Knee/Oblique,20160802 60-day | 8/2 - 10/215-day | 4/28 - 5/30,95,"$4,153,020"
Danny Salazar,SP,CLE,Elbow,20160802 15-day | 8/2 - 8/18,17,"$49,810"
Lance McCullers,SP,HOU,Elbow/Shoulder,20160801 15-day | 8/1 - 10/215-day | 4/3 - 5/13,104,"$293,592"
Bud Norris,RP,TOR,Back,20160801 15-day | 8/1 - 8/19,19,"$259,559"
Mike Pelfrey,RP,CHW,Back,20160801 15-day | 8/1 - 9/5,36,"$1,573,776"
Matt Marksberry,RP,ATL,Shoulder,20160731 60-day | 7/31 - 10/2,64,"$177,472"
Tyler Lyons,RP,PIT,Knee,20160731 60-day | 7/31 - 10/2,64,"$179,264"
Julio Teheran,SP,ATL,Arm,20160731 15-day | 7/31 - 8/19,20,"$378,880"
Colin Rea,SP,CHC,Elbow,20160731 15-day | 7/31 - 10/2,64,"$178,432"
Nate Karns,SP,BAL,Back,20160730 60-day | 7/30 - 10/2,65,"$186,030"
Adam Liberatore,RP,LAD,Elbow,20160730 15-day | 7/30 - 8/19,21,"$58,233"
Jeff Manship,RP,CIN,Wrist,20160729 15-day | 7/29 - 8/11,14,"$58,142"
Carter Capps,RP,SD,Elbow Tommy John,20160729 60-day | 7/29 - 10/260-day | 4/3 - 7/28,183,"$987,468"
Luke Gregerson,RP,STL,Oblique,20160728 15-day | 7/28 - 8/12,16,"$546,448"
Wade Davis,RP,COL,Arm,20160727 15-day | 7/27 - 9/215-day | 7/5 - 7/16,50,"$2,185,800"
