Player,Posititon,Team,Injury,Status,Days,Money_Earned
Jason Motte,RP,STL,Shoulder,20160727 15-day | 7/27 - 9/915-day | 4/3 - 5/25,98,"$2,677,556"
Jacob Barnes,RP,MIL,Elbow,20160727 15-day | 7/27 - 9/2,38,"$105,374"
Trevor Rosenthal,RP,WSH,Shoulder,20160726 15-day | 7/26 - 9/15,52,"$1,591,252"
Luke Hochevar,RP,KC,Illness,20160725 60-day | 7/25 - 10/2,70,"$2,103,850"
Tyler Glasnow,SP,TB,Shoulder,20160724 15-day | 7/24 - 8/28,36,"$99,828"
Josh Osich,RP,CHW,Arm,20160724 15-day | 7/24 - 9/1,40,"$112,040"
Chris Hatcher,RP,OAK,Oblique,20160722 60-day | 7/22 - 8/16,26,"$151,320"
Wei-Yin Chen,SP,MIA,Elbow,20160721 15-day | 7/21 - 9/19,61,"$2,866,695"
Koji Uehara,RP,CHC,Pectoral,20160720 15-day | 7/20 - 9/5,48,"$2,360,640"
Joseph Colon,RP,STL,Shoulder,20160719 15-day | 7/19 - 10/2,76,"$210,748"
Nicholas Tropeano,SP,LAA,Undisclosed/Shoulder,20160719 60-day | 7/19 - 10/215-day | 6/4 - 6/24,97,"$268,981"
Hyun-Jin Ryu,SP,LAD,Elbow/Shoulder,20160719 60-day | 7/19 - 10/260-day | 4/3 - 7/7,172,"$6,925,276"
Andrew Triggs,SP,OAK,Shin,20160718 15-day | 7/18 - 8/2,16,"$44,368"
Rich Hill,SP,LAD,Finger/Groin,20160718 15-day | 7/18 - 8/2415-day | 5/30 - 7/2,72,"$2,360,664"
Casey Fien,RP,PHI,Elbow,20160717 15-day | 7/17 - 8/15,30,"$372,960"
Chad Qualls,RP,COL,Illness,20160716 15-day | 7/16 - 8/19,35,"$430,325"
Sean O'Sullivan,RP,BOS,Knee,20160710 15-day | 7/10 - 8/11,33,"$91,509"
Tommy Hunter,RP,PHI,Illness/Abdominal,20160710 15-day | 7/10 - 8/2515-day | 4/3 - 4/29,74,"$808,746"
Trevor Cahill,SP,LAA,Knee,20160709 15-day | 7/9 - 8/16,39,"$905,736"
Craig Kimbrel,RP,BOS,Knee,20160707 15-day | 7/7 - 8/1,26,"$1,598,350"
Zach McAllister,RP,TEX,Hip,20160707 15-day | 7/7 - 7/29,23,"$163,392"
Carlos Rodon,SP,CHW,Wrist,20160706 15-day | 7/6 - 7/31,26,"$73,606"
Cory Gearrin,RP,SEA,Shoulder,20160706 15-day | 7/6 - 8/18,44,"$132,220"
Taijuan Walker,SP,ARI,Foot,20160706 15-day | 7/6 - 8/6,32,"$92,448"
Jake Diekman,RP,KC,Finger,20160706 15-day | 7/6 - 7/22,17,"$116,586"
Matt Harvey,SP,LAA,Shoulder,20160705 60-day | 7/5 - 10/2,90,"$2,127,060"
Daniel Norris,SP,DET,Oblique/Back,20160705 15-day | 7/5 - 8/215-day | 4/3 - 4/26,53,"$148,983"
Andrew Chafin,RP,ARI,Shoulder,20160704 15-day | 7/4 - 9/6,65,"$184,600"
Junichi Tazawa,RP,LAA,Shoulder,20160704 15-day | 7/4 - 7/22,19,"$350,417"
Fernando Rodriguez,RP,SD,Shoulder,20160704 60-day | 7/4 - 10/2,91,"$522,158"
Joe Ross,SP,WSH,Shoulder,20160703 60-day | 7/3 - 9/18,78,"$219,258"
Marco Estrada,SP,OAK,Back,20160703 15-day | 7/3 - 7/2215-day | 4/3 - 4/9,27,"$1,677,603"
Justin Miller,RP,WSH,Oblique,20160703 15-day | 7/3 - 9/2,62,"$172,608"
Conor Mullee,RP,CHC,Hand,20160702 60-day | 7/2 - 10/2,93,"$257,889"
Jameson Taillon,SP,PIT,Shoulder,20160630 15-day | 6/30 - 7/19,20,"$55,460"
Kevin Siegrist,RP,PIT,Illness,20160630 15-day | 6/30 - 7/15,16,"$47,120"
Chris Heston,RP,SF,Oblique,20160630 60-day | 6/30 - 10/2,95,"$275,120"
Zack Greinke,SP,ARI,Oblique,20160629 15-day | 6/29 - 8/9,42,"$7,803,264"
Erik Johnson,SP,SD,Elbow,20160629 60-day | 6/29 - 10/2,96,"$266,208"
T.J. McFarland,RP,ARI,Knee,20160629 15-day | 6/29 - 8/26,59,"$168,799"
John Gant,RP,STL,Oblique,20160628 15-day | 6/28 - 8/21,55,"$152,515"
Nick Vincent,RP,SF,Back,20160627 15-day | 6/27 - 8/7,42,"$120,624"
Clayton Kershaw,SP,LAD,Back,20160627 60-day | 6/27 - 9/9,75,"$14,168,625"
Gavin Floyd,RP,TOR,Shoulder,20160626 60-day | 6/26 - 10/2,99,"$540,936"
Sean Doolittle,RP,WSH,Shoulder,20160626 15-day | 6/26 - 9/2,69,"$595,746"
Adrian Sampson,RP,TEX,Arm,20160624 60-day | 6/24 - 10/2,101,"$280,073"
Andrew Bailey,RP,LAA,Hamstring,20160623 15-day | 6/23 - 7/8,16,"$44,368"
Colby Lewis,SP,TEX,Arm,20160622 60-day | 6/22 - 9/10,81,"$2,655,747"
Clayton Richard,SP,TOR,Finger,20160621 15-day | 6/21 - 7/15,25,"$273,225"
Derek Holland,RP,SF,Shoulder,20160621 60-day | 6/21 - 8/23,64,"$3,497,280"
Zach Putnam,RP,BOS,Elbow,20160621 15-day | 6/21 - 10/2,104,"$554,112"
Drew VerHagen,RP,DET,Shoulder,20160620 60-day | 6/20 - 10/2,105,"$292,320"
Brian Duensing,RP,CHC,Elbow,20160620 60-day | 6/20 - 9/5,78,"$216,294"
Jim Henderson,RP,MIL,Arm,20160619 15-day | 6/19 - 8/20,63,"$174,699"
Alex Colome,RP,CHW,Arm,20160619 15-day | 6/19 - 7/5,17,"$48,467"
A.J. Morris,RP,CIN,Shoulder,20160616 60-day | 6/16 - 10/2,109,"$302,257"
Alfredo Simon,SP,CIN,Shoulder,20160616 60-day | 6/16 - 8/29,75,"$819,675"
Sean Manaea,SP,OAK,Arm,20160614 15-day | 6/14 - 6/29,16,"$44,368"
Wade Miley,SP,HOU,Shoulder,20160613  | 6/13 - 6/29,17,"$572,866"
Jonathan Papelbon,RP,WSH,Arm,20160613 15-day | 6/13 - 7/4,22,"$1,322,398"
Cory Rasmus,RP,TB,Groin,20160613 60-day | 6/13 - 9/1415-day | 5/17 - 6/9,118,"$331,698"
Yu Darvish,SP,CHC,Shoulder/Elbow Tommy John,20160613 15-day | 6/13 - 7/1715-day | 4/3 - 5/28,91,"$5,316,955"
Jake McGee,RP,COL,Knee,20160612 15-day | 6/12 - 7/2,21,"$550,830"
Andrew Cashner,SP,BAL,Neck/Hamstring,20160611 15-day | 6/11 - 7/315-day | 5/13 - 5/24,35,"$1,367,485"
Phil Hughes,RP,SD,Knee,20160610 60-day | 6/10 - 10/2,115,"$5,781,395"
Chris Rusin,RP,COL,Shoulder,20160609 15-day | 6/9 - 7/27,49,"$137,249"
Vincent Velasquez,SP,PHI,Arm,20160609 15-day | 6/9 - 6/26,18,"$50,760"
Williams Perez,SP,STL,Shoulder,20160608 60-day | 6/8 - 9/2,87,"$243,078"
Mike Foltynewicz,SP,ATL,Elbow,20160604 15-day | 6/4 - 6/30,27,"$74,871"
Brad Boxberger,RP,KC,Oblique/Abdominal,20160601 15-day | 6/1 - 7/2915-day | 4/3 - 5/30,117,"$331,929"
Warwick Saupold,RP,DET,Groin,20160601 15-day | 6/1 - 7/17,47,"$130,331"
Alex Wood,SP,CIN,Arm,20160531 60-day | 5/31 - 9/20,113,"$327,248"
Caleb Cotham,RP,SEA,Knee,20160529 60-day | 5/29 - 10/2,127,"$353,695"
Cesar Vargas,SP,SD,Elbow,20160529 60-day | 5/29 - 10/2,127,"$352,171"
Felix Hernandez,RP,SEA,Calf,20160528 15-day | 5/28 - 7/20,54,"$7,629,984"
Ryan Webb,RP,SF,Pectoral,20160527 15-day | 5/27 - 8/31,97,"$530,008"
Shelby Miller,SP,TEX,Finger,20160527 15-day | 5/27 - 6/20,25,"$594,250"
Chasen Shreve,RP,STL,Shoulder,20160526 15-day | 5/26 - 6/19,25,"$72,875"
Bryan Morris,RP,SF,Back,20160526 60-day | 5/26 - 9/20,118,"$870,486"
Rubby De La Rosa,SP,ARI,Elbow,20160526 60-day | 5/26 - 9/9,107,"$1,374,094"
Chris Capuano,RP,MIL,Elbow,20160526 60-day | 5/26 - 10/2,130,"$1,065,610"
Boone Logan,RP,MIL,Shoulder,20160525 15-day | 5/25 - 6/6,13,"$443,989"
Arquimedes Caminero,RP,NYM,Quad,20160525 15-day | 5/25 - 6/11,18,"$52,380"
Ryan Vogelsong,SP,MIN,Face,20160524 60-day | 5/24 - 8/4,73,"$797,817"
Joba Chamberlain,RP,MIL,Ribs,20160522 15-day | 5/22 - 6/8,18,"$98,352"
Chin-Hui Tsao,RP,LAD,Arm,20160522 60-day | 5/22 - 10/2,134,"$371,582"
Christian Bergman,RP,CHC,Oblique,20160521 15-day | 5/21 - 7/10,51,"$142,851"
Tim Adleman,SP,CIN,Oblique,20160520 15-day | 5/20 - 8/2,75,"$207,975"
Brett Cecil,RP,STL,Arm,20160515 15-day | 5/15 - 6/30,47,"$975,955"
Carson Smith,RP,BOS,Elbow/Arm,20160515 60-day | 5/15 - 10/215-day | 4/3 - 5/3,172,"$497,252"
Luis Severino,SP,NYY,Arm,20160514 15-day | 5/14 - 5/30,17,"$48,433"
Chris Young,RP,SD,Arm,20160512 15-day | 5/12 - 5/28,17,"$394,808"
Kris Medlen,SP,ARI,Shoulder,20160512 60-day | 5/12 - 10/2,144,"$4,327,920"
Jim Johnson,RP,LAA,Groin,20160510 15-day | 5/10 - 6/3,25,"$341,525"
Nefi Ogando,RP,CIN,Ribs,20160510 15-day | 5/10 - 6/26,48,"$133,104"
Liam Hendriks,RP,OAK,Arm,20160510 15-day | 5/10 - 6/19,41,"$117,260"
A.J. Griffin,RP,NYM,Shoulder,20160508 15-day | 5/8 - 6/25,49,"$135,877"
Jon Moscot,SP,CIN,Shoulder/Ribs,20160507 15-day | 5/7 - 5/3115-day | 4/3 - 4/17,40,"$111,040"
Garrett Richards,SP,SD,Elbow,20160506 60-day | 5/6 - 10/2,150,"$5,266,350"
C.C. Sabathia,SP,NYY,Groin,20160506 15-day | 5/6 - 5/20,15,"$2,049,180"
Jake Petricka,RP,MIL,Hip,20160505 60-day | 5/5 - 10/2,151,"$441,373"
Tony Zych,RP,SEA,Shoulder,20160503 60-day | 5/3 - 8/23,113,"$315,496"
Raisel Iglesias,RP,CIN,Shoulder,20160501 15-day | 5/1 - 6/21,52,"$913,328"
Dalier Hinojosa,RP,PHI,Hand,20160430 15-day | 4/30 - 7/3,65,"$182,585"
Daniel Webb,RP,CHW,Elbow,20160429 60-day | 4/29 - 10/2,157,"$435,361"
Chris Bassitt,SP,OAK,Elbow,20160429 60-day | 4/29 - 10/2,157,"$437,559"
Shane Greene,RP,DET,Finger,20160428 15-day | 4/28 - 6/4,38,"$107,350"
Jorge De La Rosa,RP,CHC,Groin,20160427 15-day | 4/27 - 5/24,28,"$1,912,568"
Matt Belisle,RP,MIN,Calf,20160427 15-day | 4/27 - 6/14,49,"$334,719"
Kyle Gibson,SP,MIN,Shoulder,20160426 15-day | 4/26 - 6/10,46,"$147,660"
Ervin Santana,SP,CHW,Back,20160426 15-day | 4/26 - 5/6,11,"$811,470"
Joaquin Benoit,RP,WSH,Shoulder,20160425 15-day | 4/25 - 5/17,23,"$942,632"
Charlie Morton,SP,TB,Hamstring,20160424 60-day | 4/24 - 10/2,162,"$7,081,992"
Yovani Gallardo,SP,TEX,Shoulder,20160423 15-day | 4/23 - 6/18,57,"$2,803,260"
Yimi Garcia,RP,LAD,Arm,20160423 60-day | 4/23 - 10/2,163,"$460,964"
Miguel Castro,SP,BAL,Shoulder,20160422 15-day | 4/22 - 5/19,28,"$77,952"
Branden Pinder,RP,LAA,Elbow,20160422 60-day | 4/22 - 10/2,164,"$454,772"
Robbie Erlin,RP,SD,Elbow,20160421 60-day | 4/21 - 10/2,165,"$465,630"
Keone Kela,RP,PIT,Elbow,20160421 60-day | 4/21 - 7/15,86,"$243,466"
Joe Kelly,RP,LAD,Shoulder,20160419 15-day | 4/19 - 5/21,33,"$468,864"
Edwin Jackson,SP,OAK,Arm,20160419 15-day | 4/19 - 5/20,32,"$88,736"
George Kontos,RP,CHC,Arm,20160419 15-day | 4/19 - 5/17,29,"$182,236"
Sergio Romo,RP,MIA,Elbow,20160414 60-day | 4/14 - 7/4,82,"$4,032,760"
Cory Luebke,RP,CHW,Hamstring,20160414 15-day | 4/14 - 5/15,32,"$88,736"
Glen Perkins,RP,MIN,Shoulder,20160413 60-day | 4/13 - 10/1,172,"$5,921,272"
Daniel Winkler,RP,ATL,Elbow,20160411 60-day | 4/11 - 10/2,175,"$485,800"
Franklin Morales,RP,TOR,Shoulder,20160410 60-day | 4/10 - 7/22,104,"$1,136,616"
Tyson Ross,SP,DET,Shoulder,20160409 60-day | 4/9 - 10/2,177,"$9,309,492"
Matt Thornton,RP,SD,Achilles,20160408 15-day | 4/8 - 5/29,52,"$454,636"
Andrew Heaney,SP,LAA,Abdominal,20160406 60-day | 4/6 - 10/2,180,"$506,520"
Matt Garza,SP,MIL,Arm,20160405 60-day | 4/5 - 6/14,71,"$4,849,726"
Felix Doubront,SP,OAK,Elbow,20160404 60-day | 4/4 - 10/2,182,"$1,989,078"
Kevin Gausman,SP,ATL,Shoulder,20160403 15-day | 4/3 - 4/25,23,"$66,861"
Eduardo Rodriguez,SP,BOS,Knee,20160403 15-day | 4/3 - 5/30,58,"$165,126"
Zack Wheeler,SP,NYM,Elbow Tommy John,20160403 60-day | 4/3 - 10/2,183,"$546,255"
Anthony DeSclafani,SP,CIN,Oblique,20160403 60-day | 4/3 - 6/10,69,"$203,619"
Blaine Hardy,RP,DET,Shoulder,20160403 15-day | 4/3 - 4/18,16,"$45,504"
Michael Lorenzen,RP,CIN,Elbow,20160403 60-day | 4/3 - 6/22,81,"$228,582"
Tyler Anderson,SP,COL,Oblique,20160403 15-day | 4/3 - 5/9,37,"$103,008"
Tyler Skaggs,SP,LAA,Elbow,20160403 15-day | 4/3 - 7/26,115,"$323,610"
Corey Knebel,RP,MIL,Oblique,20160403 15-day | 4/3 - 6/9,68,"$190,604"
Jon Gray,SP,COL,Abdominal,20160403 15-day | 4/3 - 4/22,20,"$55,680"
Tyler Matzek,RP,ARI,Undisclosed,20160403 15-day | 4/3 - 5/19,47,"$130,848"
Adam Ottavino,RP,NYY,Elbow Tommy John,20160403 60-day | 4/3 - 7/6,95,"$674,880"
Jared Hughes,RP,CIN,Shoulder,20160403 15-day | 4/3 - 4/30,28,"$332,780"
Brandon Beachy,SP,SF,Elbow,20160403 15-day | 4/3 - 9/18,169,"$1,385,293"
Tim Collins,RP,MIN,Elbow Tommy John,20160403 60-day | 4/3 - 10/2,183,"$1,474,980"
Alex Wilson,RP,CLE,Arm,20160403 15-day | 4/3 - 4/16,14,"$39,970"
Mike Minor,SP,TEX,Shoulder,20160403 60-day | 4/3 - 10/2,183,"$2,000,007"
Lance Lynn,SP,TEX,Elbow Tommy John,20160403 60-day | 4/3 - 10/2,183,"$7,500,072"
Zac Rosscup,RP,SEA,Shoulder,20160403 60-day | 4/3 - 10/2,183,"$524,478"
Zack Jones,RP,NYM,Shoulder,20160403 60-day | 4/3 - 6/19,78,"$216,294"
Aaron Loup,RP,SD,Elbow,20160403 15-day | 4/3 - 5/28,56,"$321,328"
Jon Edwards,RP,CLE,Elbow,20160403 60-day | 4/3 - 10/2,183,"$509,655"
Homer Bailey,SP,KC,Elbow Tommy John,20160403 15-day | 4/3 - 7/28,117,"$11,508,237"
Jesse Biddle,RP,ATL,Elbow Tommy John,20160403 60-day | 4/3 - 10/2,183,"$507,459"
Bo Schultz,RP,BAL,Hip,20160403 15-day | 4/3 - 5/21,49,"$137,445"
Brandon Workman,RP,BOS,Elbow Tommy John,20160403 60-day | 4/3 - 10/2,183,"$539,484"
Will Smith,RP,SF,Knee,20160403 15-day | 4/3 - 6/1,60,"$483,600"
Raudel Lazo,RP,MIA,Shoulder,20160403 15-day | 4/3 - 4/20,18,"$50,022"
Brian Matusz,RP,ARI,Back,20160403 15-day | 4/3 - 4/23,21,"$447,531"
Josh Collmenter,RP,ATL,Shoulder,20160403 15-day | 4/3 - 5/27,55,"$555,995"
Tanner Scheppers,RP,TEX,Knee,20160403 60-day | 4/3 - 9/6,157,"$772,126"
Angel Nesbitt,RP,DET,Ankle,20160403 15-day | 4/3 - 5/8,36,"$100,044"
Mike Bolsinger,RP,TOR,Oblique,20160403 15-day | 4/3 - 5/17,45,"$126,630"
Jeff Ferrell,RP,BAL,Shoulder,20160403 15-day | 4/3 - 4/25,23,"$63,779"
Evan Scribner,RP,TB,Arm,20160403 60-day | 4/3 - 9/1,152,"$670,776"
Shae Simmons,RP,CHC,Elbow Tommy John,20160403 15-day | 4/3 - 8/8,128,"$355,328"
Buddy Baumann,RP,NYM,Back,20160403 60-day | 4/3 - 7/1,90,"$255,780"
C.J. Wilson,SP,LAA,Shoulder,20160403 60-day | 4/3 - 10/2,183,"$20,000,070"
Matt Harrison,SP,PHI,Back,20160403 60-day | 4/3 - 10/2,183,"$12,999,954"
Jordan Walden,RP,STL,Arm,20160403 60-day | 4/3 - 10/2,183,"$3,500,058"
Andrew McKirahan,RP,CIN,Elbow Tommy John,20160403 60-day | 4/3 - 10/2,183,"$511,668"
Yhonathan Barrios,RP,MIL,Shoulder,20160403 60-day | 4/3 - 10/2,183,"$509,289"
Charlie Furbush,RP,SEA,Shoulder,20160403 60-day | 4/3 - 10/2,183,"$1,599,969"
Mitch Harris,RP,STL,Arm,20160403 60-day | 4/3 - 10/2,183,"$508,923"
Mario Hollands,RP,PHI,Elbow Tommy John,20160403 60-day | 4/3 - 6/2,61,"$170,861"
Josh Edgin,RP,WSH,Elbow Tommy John,20160403 15-day | 4/3 - 5/10,38,"$129,770"
Alex Cobb,SP,BAL,Elbow Tommy John,20160403 60-day | 4/3 - 8/29,149,"$3,256,842"
Chase Whitley,RP,ATL,Elbow Tommy John,20160403 60-day | 4/3 - 8/17,137,"$392,642"
Jarrod Parker,SP,OAK,Elbow,20160403 60-day | 4/3 - 10/2,183,"$850,035"
Jason Vargas,SP,NYM,Elbow Tommy John,20160403 60-day | 4/3 - 9/17,168,"$7,803,264"
Paco Rodriguez,RP,MIN,Elbow Tommy John,20160403 60-day | 4/3 - 10/2,183,"$520,452"
Michael Mariot,RP,KC,Ankle,20160403 15-day | 4/3 - 5/18,46,"$128,846"
Dallas Beeler,RP,KC,Undisclosed,20160403 60-day | 4/3 - 10/2,183,"$508,557"
Michael Dunn,RP,COL,Arm,20160403 15-day | 4/3 - 5/31,59,"$1,112,268"
John Lamb,SP,LAA,Back,20160403 15-day | 4/3 - 5/3,31,"$85,963"
Aaron Barrett,RP,WSH,Elbow Tommy John,20160403 60-day | 4/3 - 10/2,183,"$519,354"
Henderson Alvarez,SP,WSH,Shoulder,20160403 60-day | 4/3 - 10/2,183,"$4,249,992"
Bryan Mitchell,RP,SD,Toe,20160403 60-day | 4/3 - 9/24,175,"$494,025"
R.J. Alvarez,RP,MIA,Elbow,20160403 60-day | 4/3 - 6/12,71,"$197,877"
Ryan Cook,RP,SEA,Arm,20160403 60-day | 4/3 - 10/2,183,"$1,100,013"
